user_id,trips_per_month_label,ratio_stay_time_in_home_label,trip_length_label,rg_time_label,rg_quantity_label,shopping_label,recreation_label,restaurant_label,ratio_of_uninterested_trips_label,rg4/rg_quantity_label,k_quantity_label,random_entropy_label,location_entropy_label,OD_entropy_label,sequence_entropy_label,distance_from_home_entropy_label,speed_std_mean_label,speed_mean_std_label,speed_std_max_label,acceleration_std_max_label,harsh_shift_ratio_std_label,harsh_steering_ratio_std_label,harsh_shift_ratio_mean_label,harsh_steering_ratio_mean_label,speed_mean_label,speed_max_label,over_speed_ratio_label,over_speed_quantity_label,junction_over_speed_label,junction_speed_mean_label,day_entropy_label,datetime_entropy_label,extroversion_label,openness_label,neuroticism_label,conscientiousness_label
030,high,low,low,low,low,low,medium,low,medium,high,high,medium,medium,medium,medium,low,low,low,high,medium,medium,medium,medium,medium,high,high,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
031,medium,medium,medium,low,low,medium,high,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,medium,medium,medium,medium,high,high,medium,medium,high,medium,medium,low,low,medium
032,high,low,low,medium,low,medium,medium,high,low,medium,medium,low,low,low,low,low,low,medium,high,high,high,high,high,high,high,high,high,high,high,high,low,low,medium,low,high,high
033,low,medium,high,high,high,high,medium,low,high,high,medium,low,medium,medium,medium,medium,medium,high,medium,low,medium,low,medium,low,medium,medium,low,low,high,high,high,high,high,medium,medium,medium
034,medium,medium,high,high,high,high,high,high,high,medium,low,high,high,high,high,high,high,high,medium,low,low,medium,low,low,medium,medium,medium,medium,medium,medium,low,medium,high,high,low,medium
035,low,low,medium,medium,high,medium,medium,medium,high,medium,high,medium,medium,medium,medium,medium,high,high,high,medium,high,medium,high,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,high,low
036,high,high,medium,medium,medium,high,high,medium,low,medium,low,medium,medium,high,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,high,medium,medium,low
037,medium,medium,medium,low,medium,low,low,low,low,medium,high,medium,medium,medium,medium,low,low,medium,medium,low,low,high,low,high,high,high,high,medium,medium,high,medium,medium,low,medium,medium,high
038,medium,medium,medium,low,low,high,medium,medium,medium,low,low,medium,low,low,low,low,high,medium,medium,medium,low,high,medium,high,high,low,high,high,low,medium,high,medium,medium,low,high,medium
039,high,medium,low,low,low,low,medium,low,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,high,medium,low,high,low,medium,high,medium,high,medium,medium,low,low,low,medium,medium,medium
040,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,low,medium,high,medium,high,medium,medium,medium,high,medium,medium,low,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
041,medium,medium,medium,medium,medium,high,high,low,medium,high,high,high,high,high,high,high,medium,medium,medium,medium,high,medium,high,medium,medium,medium,medium,medium,low,low,low,low,medium,high,medium,medium
042,medium,high,high,high,high,high,medium,high,medium,low,low,medium,medium,medium,medium,medium,high,high,high,medium,medium,medium,medium,low,low,low,low,low,low,low,high,high,high,medium,high,low
043,medium,high,medium,medium,medium,high,high,medium,low,medium,low,medium,medium,medium,medium,medium,high,medium,high,medium,medium,high,medium,high,high,low,low,medium,medium,medium,medium,medium,medium,medium,high,medium
044,medium,medium,low,medium,medium,medium,medium,low,low,high,high,medium,medium,medium,medium,medium,low,low,high,high,medium,high,medium,high,high,high,high,medium,high,high,high,medium,low,medium,high,high
045,medium,medium,medium,medium,medium,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,high,medium,medium,medium,medium,medium,low,low,low,medium,high,medium,medium,low
046,low,low,medium,high,high,low,medium,high,high,high,medium,low,medium,medium,medium,medium,low,high,medium,medium,medium,high,low,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
047,medium,high,medium,high,high,low,low,low,medium,low,low,medium,medium,medium,medium,medium,high,high,medium,low,low,high,low,high,high,medium,medium,medium,medium,medium,medium,medium,high,medium,high,medium
048,medium,high,medium,high,medium,medium,high,medium,medium,high,high,medium,high,high,high,medium,medium,medium,high,medium,medium,low,high,low,medium,high,low,low,medium,medium,medium,medium,high,high,medium,medium
049,high,low,medium,medium,medium,medium,medium,medium,medium,medium,high,high,medium,high,medium,high,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,low,low,medium,high,medium,medium
050,medium,high,medium,medium,medium,medium,high,high,medium,medium,high,medium,medium,medium,medium,medium,high,low,high,high,high,medium,high,high,medium,low,medium,medium,medium,medium,high,medium,medium,medium,high,medium
051,medium,low,medium,medium,medium,medium,high,medium,high,low,low,high,medium,medium,medium,medium,low,medium,low,medium,high,medium,medium,medium,medium,medium,high,medium,high,medium,low,low,medium,medium,medium,medium
052,medium,medium,high,high,high,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,low,medium,low,medium,medium,medium,medium,high,high,low,medium,high,medium,medium,medium
053,medium,medium,medium,medium,medium,medium,high,medium,low,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,high,medium,medium,medium,high,medium,medium,medium,high,medium,medium,low,medium,high
054,high,low,low,medium,low,low,low,low,low,high,medium,medium,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,high,medium,low,low,low,low,medium,medium
055,high,high,medium,medium,medium,high,medium,low,low,medium,medium,high,medium,high,medium,medium,high,medium,high,medium,high,low,high,low,low,low,low,medium,low,low,low,low,high,medium,medium,low
056,medium,medium,high,high,high,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium,low,high,high,high,medium,medium,medium,medium,high,high,medium,medium,high,high,medium,medium,high,medium,medium,high
057,medium,medium,medium,medium,medium,low,medium,high,high,medium,high,medium,high,high,high,high,medium,low,low,low,medium,low,medium,low,high,medium,medium,medium,medium,medium,medium,medium,medium,high,low,medium
058,low,medium,medium,high,medium,medium,medium,medium,high,medium,high,medium,high,medium,high,high,low,medium,medium,low,low,medium,low,medium,high,high,medium,high,high,high,medium,high,medium,high,low,high
059,high,low,medium,medium,medium,low,low,low,low,high,medium,high,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,high,low,medium,high,medium,medium,medium,medium,low,low,medium,medium,medium,medium
060,medium,medium,low,low,low,low,medium,medium,low,high,medium,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,high,high,high,high,low,low,medium,medium,low,low,low,high
061,high,medium,medium,medium,medium,high,medium,medium,low,medium,low,medium,low,medium,low,medium,medium,low,low,medium,high,medium,high,medium,medium,medium,high,high,medium,medium,medium,medium,medium,low,medium,medium
062,high,medium,high,high,high,medium,high,medium,medium,medium,low,high,high,high,medium,high,high,high,high,low,low,high,low,high,medium,medium,low,low,medium,medium,medium,low,high,medium,high,low
063,medium,medium,medium,low,low,high,medium,low,medium,medium,low,medium,medium,medium,medium,low,medium,low,high,high,high,high,medium,high,high,medium,high,medium,low,low,high,high,low,low,high,high
064,high,medium,medium,low,low,medium,medium,high,low,low,low,high,medium,high,medium,medium,medium,low,low,high,medium,medium,high,high,high,high,high,high,medium,medium,low,low,medium,medium,medium,medium
065,high,medium,medium,medium,high,medium,medium,low,medium,high,high,high,medium,high,medium,medium,medium,medium,high,medium,high,low,high,medium,medium,medium,low,medium,medium,medium,low,low,medium,high,medium,medium
066,medium,medium,high,high,high,medium,medium,medium,high,low,low,high,high,high,high,high,high,high,high,medium,low,low,medium,low,low,low,low,low,low,low,low,medium,high,high,medium,low
067,medium,low,low,low,low,medium,high,medium,medium,high,high,low,low,low,low,low,low,medium,low,high,medium,low,high,medium,high,high,high,high,low,medium,low,medium,low,low,medium,medium
068,medium,medium,high,high,high,high,high,high,medium,low,low,medium,medium,medium,medium,medium,high,high,high,medium,medium,high,medium,medium,medium,medium,low,low,high,high,low,medium,high,medium,high,medium
069,high,low,low,medium,low,medium,medium,medium,low,high,high,medium,low,low,low,low,low,low,low,medium,high,low,high,medium,high,high,high,high,low,medium,medium,low,low,medium,medium,medium
070,medium,high,high,high,high,high,high,high,high,medium,medium,high,high,high,high,high,high,high,medium,high,medium,high,high,high,medium,low,low,low,medium,medium,low,medium,high,high,high,low
071,medium,high,high,high,high,high,medium,medium,low,low,low,low,medium,medium,medium,medium,high,high,medium,medium,medium,medium,medium,low,low,low,low,low,medium,medium,high,medium,high,low,medium,medium
072,low,high,medium,high,medium,medium,medium,high,high,medium,medium,medium,high,medium,high,high,high,medium,high,medium,medium,medium,high,medium,low,low,medium,medium,medium,medium,medium,medium,high,high,medium,medium
073,high,medium,high,high,high,medium,high,medium,low,low,low,medium,low,medium,low,medium,medium,high,medium,high,medium,medium,medium,low,low,medium,medium,medium,medium,medium,low,low,high,low,medium,low
074,high,medium,high,high,high,medium,medium,high,high,low,low,high,high,high,high,high,high,high,high,medium,medium,high,high,high,low,low,low,low,low,low,low,low,high,high,high,low
075,low,high,medium,medium,high,medium,medium,medium,high,high,medium,medium,medium,medium,medium,high,medium,high,medium,medium,medium,high,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium,high,medium,medium
076,high,medium,medium,medium,medium,low,medium,low,medium,medium,low,high,medium,high,medium,medium,medium,medium,high,medium,medium,low,medium,low,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,low
077,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,high,medium,medium,medium,low,medium,high,high,medium,high,medium,high,medium,medium,medium,medium,medium,low,low,medium,high,high,medium
078,medium,low,medium,low,low,low,high,low,low,low,low,low,low,low,low,low,high,medium,medium,low,medium,low,high,low,low,medium,medium,medium,low,low,high,medium,low,low,medium,medium
079,low,low,medium,high,medium,medium,medium,medium,high,high,high,medium,medium,medium,medium,medium,low,medium,medium,high,high,high,medium,high,high,high,medium,medium,high,high,low,medium,medium,medium,high,high
080,medium,medium,low,low,low,low,high,medium,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,high,low,medium,medium,high,high,high,high,high,high,medium,low,low,medium,high
081,medium,medium,medium,medium,medium,medium,medium,high,high,medium,medium,high,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,high,low,medium,medium,high,medium,medium
082,medium,low,high,medium,high,high,medium,medium,low,low,medium,medium,medium,medium,medium,medium,medium,high,medium,low,medium,medium,high,low,medium,medium,low,low,medium,low,high,medium,high,medium,medium,medium
083,low,medium,high,high,high,high,high,medium,high,low,medium,medium,medium,medium,medium,medium,medium,medium,high,low,medium,low,medium,low,medium,high,medium,medium,medium,medium,low,medium,high,medium,medium,medium
084,low,low,low,low,low,low,low,medium,low,medium,medium,low,low,low,low,low,low,low,low,medium,low,medium,medium,high,high,high,high,high,high,high,medium,high,low,low,low,high
085,high,medium,medium,medium,medium,low,medium,medium,low,medium,low,medium,low,medium,low,medium,high,medium,medium,medium,low,low,low,low,low,medium,low,medium,low,low,medium,medium,medium,low,medium,low
086,high,high,medium,medium,low,high,high,high,low,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,high,medium,low,high,low,medium,medium,high,medium,medium,medium,medium,low,high,medium,medium,medium
087,high,low,medium,medium,medium,medium,low,medium,low,medium,medium,medium,low,low,low,low,high,medium,high,medium,medium,high,high,high,high,low,medium,medium,high,high,medium,low,medium,low,high,medium
088,medium,medium,high,high,high,medium,low,low,medium,high,medium,medium,high,high,high,medium,medium,medium,high,low,medium,low,medium,low,low,low,low,low,low,low,medium,medium,medium,high,medium,low
089,high,low,medium,medium,medium,high,low,medium,high,medium,medium,high,high,high,high,high,high,medium,low,high,high,medium,high,medium,medium,low,medium,medium,medium,medium,low,low,medium,high,medium,low
090,medium,medium,low,medium,medium,medium,high,medium,low,medium,high,medium,low,low,low,low,medium,low,low,low,low,low,medium,low,high,medium,high,high,high,high,high,high,medium,medium,low,high
091,low,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,high,high,high,high,high,high,medium,medium,low,medium,low,high
092,medium,low,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low,low,medium,low,low,low,low,low,low,low,low,medium,high,high,low,low,high,high,low,low,low,medium
093,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,low,high,high,high,high,high,high,high,medium,medium,medium,medium,high,low,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,low
094,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,high,medium,high,medium,medium,low,high,low,low,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
095,medium,high,high,high,high,high,medium,high,high,high,high,high,high,high,high,high,medium,high,medium,high,high,medium,medium,medium,medium,medium,medium,low,medium,medium,low,low,high,high,high,medium
096,medium,medium,medium,high,medium,medium,medium,high,medium,medium,medium,high,high,high,high,high,medium,medium,high,low,medium,high,high,medium,medium,medium,medium,medium,high,high,medium,medium,medium,high,medium,medium
097,low,medium,high,low,medium,low,medium,medium,medium,high,high,medium,medium,medium,high,high,medium,medium,low,low,medium,low,high,low,low,medium,medium,medium,low,low,low,medium,medium,high,low,low
098,medium,medium,medium,medium,medium,high,high,high,high,high,medium,medium,high,medium,high,medium,medium,medium,medium,high,high,high,high,high,high,medium,medium,medium,medium,medium,medium,medium,high,high,high,medium
099,medium,low,medium,medium,low,low,high,medium,medium,low,low,low,low,low,low,low,medium,low,medium,high,high,low,high,low,low,low,medium,medium,low,low,high,high,low,low,medium,medium
100,high,low,high,high,high,low,low,medium,low,low,low,medium,medium,medium,medium,medium,medium,high,low,high,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,medium,medium
101,high,high,low,low,low,medium,low,medium,low,medium,low,low,low,low,low,low,medium,low,low,medium,medium,low,high,medium,medium,medium,high,high,low,medium,high,medium,low,low,medium,medium
102,high,high,low,low,low,low,low,low,low,medium,high,high,medium,medium,medium,medium,medium,low,high,medium,medium,medium,high,medium,medium,medium,high,medium,low,low,low,low,low,medium,medium,medium
103,high,high,medium,medium,medium,medium,medium,high,medium,medium,low,high,high,high,high,high,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,low,high,high,medium,medium
104,medium,medium,low,medium,medium,high,high,high,medium,high,high,medium,medium,medium,medium,medium,low,medium,low,medium,medium,high,low,high,high,high,high,medium,high,high,medium,medium,high,medium,medium,high
105,high,high,high,high,high,high,low,medium,medium,low,medium,high,medium,medium,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,low,low,high,medium,medium,low
106,high,medium,low,low,low,low,low,high,low,medium,low,medium,low,low,low,low,low,low,low,medium,medium,low,high,medium,high,high,high,high,high,high,low,low,low,low,low,high
107,medium,medium,high,high,high,high,high,low,high,medium,high,high,high,high,medium,high,medium,medium,medium,medium,medium,low,medium,low,medium,high,medium,medium,high,high,medium,medium,high,high,low,medium
108,low,low,low,medium,medium,high,high,medium,medium,high,high,low,low,low,medium,low,medium,medium,medium,high,high,low,high,low,high,high,medium,high,medium,medium,medium,medium,medium,medium,medium,high
109,low,high,high,high,high,medium,medium,medium,high,low,low,high,high,high,high,high,medium,high,medium,medium,medium,high,medium,medium,high,high,medium,medium,high,high,medium,medium,high,high,medium,high
110,medium,low,low,medium,medium,medium,high,low,medium,high,high,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,high,high,medium,medium,high,high,medium,medium,medium,high,medium,high
111,medium,medium,medium,medium,medium,low,medium,medium,medium,low,low,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,low,medium,low,low,low,high,medium,medium,medium,medium,medium,medium,medium
112,medium,medium,high,high,high,low,medium,medium,medium,medium,medium,medium,high,high,high,high,medium,high,high,low,high,medium,medium,medium,low,medium,low,low,medium,medium,high,high,medium,medium,medium,medium
113,medium,medium,medium,medium,medium,low,low,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,low,low,high,high,high,medium,medium,medium,medium,high,medium,low,medium,medium,medium,low,medium,medium,medium
114,high,high,low,low,low,high,medium,medium,low,high,high,high,low,low,low,low,low,low,medium,medium,medium,low,medium,low,high,high,high,high,high,medium,low,low,medium,medium,low,medium
115,medium,low,medium,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,medium,medium,medium,low,medium,high,medium,medium,low,low,high,high,high,medium,low,low,medium,medium
116,high,medium,medium,medium,medium,medium,low,high,medium,medium,medium,high,medium,high,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
117,high,high,low,low,low,medium,medium,high,low,high,high,medium,medium,high,medium,low,low,low,low,medium,medium,low,high,medium,high,high,high,high,high,medium,medium,low,medium,medium,medium,high
118,medium,medium,high,high,high,high,high,medium,low,low,low,medium,medium,medium,medium,medium,high,high,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,medium,medium,high,medium,medium,low
119,medium,medium,medium,medium,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,high,high,high,medium,low,medium,medium,medium,medium,high,high,medium,medium,high,medium
120,high,low,medium,medium,medium,high,medium,high,medium,high,medium,high,high,high,high,high,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,high,medium,medium
121,high,high,low,medium,low,medium,high,medium,low,medium,medium,high,low,medium,low,low,low,low,medium,high,medium,low,medium,low,high,high,high,medium,high,high,low,low,medium,medium,low,high
122,medium,medium,medium,medium,medium,medium,medium,high,medium,low,low,high,high,high,high,high,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,high,high,medium,medium,medium,medium,medium,medium
123,medium,high,high,high,high,medium,high,high,high,medium,high,high,high,high,high,high,high,high,medium,medium,high,medium,high,medium,low,low,low,low,low,low,low,low,high,high,high,low
124,high,medium,high,high,high,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,medium,high,low,high,low,low,low,low,low,medium,medium,low,low,high,medium,high,low
125,high,medium,low,low,low,high,high,high,low,medium,medium,medium,low,medium,low,low,medium,medium,low,high,high,high,high,high,medium,low,medium,medium,medium,medium,low,low,high,low,high,medium
126,medium,low,medium,medium,high,low,medium,low,high,low,medium,medium,medium,medium,medium,medium,low,medium,low,high,low,medium,low,low,medium,medium,medium,low,low,medium,low,medium,medium,medium,low,low
127,high,medium,high,medium,high,medium,low,medium,low,medium,medium,high,high,high,high,high,medium,medium,medium,medium,medium,low,high,low,medium,medium,high,high,medium,medium,low,low,medium,high,medium,medium
128,medium,medium,high,high,high,low,low,low,low,medium,medium,low,low,low,low,medium,high,high,medium,low,low,low,low,low,low,low,low,low,low,low,high,medium,medium,low,low,low
129,high,low,high,high,medium,high,medium,medium,low,low,low,high,low,low,low,low,medium,high,medium,high,medium,low,medium,low,low,medium,low,medium,high,high,low,low,high,low,medium,low
130,high,high,high,medium,medium,medium,medium,high,medium,medium,low,high,medium,high,medium,high,high,medium,medium,high,high,high,high,high,low,low,medium,medium,low,low,medium,low,high,medium,high,low
131,high,medium,medium,medium,medium,low,low,high,medium,high,medium,high,high,high,high,high,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium,medium,low,medium,medium,low,medium,high,medium,medium
132,medium,low,low,low,low,medium,high,high,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,high,high,high,low,medium,medium,medium,medium,low,low,medium,medium,high,medium
133,medium,high,medium,medium,medium,low,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,high,high,high,medium,high,low,high,low,medium,low,low,medium,low,low,low,medium,medium,medium,high,low
134,high,high,low,low,medium,high,medium,low,medium,high,high,high,medium,high,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,low,medium,high,low,medium
135,high,high,medium,high,medium,medium,high,low,medium,medium,medium,high,high,high,high,high,medium,medium,high,high,medium,low,medium,low,medium,medium,low,medium,medium,medium,low,low,high,high,medium,medium
136,medium,low,medium,medium,medium,low,medium,low,medium,low,medium,medium,low,medium,medium,medium,high,high,high,medium,medium,medium,medium,low,low,medium,low,low,high,high,medium,medium,low,medium,medium,low
137,high,high,low,low,low,low,low,medium,low,medium,medium,medium,low,low,low,low,low,low,low,high,medium,medium,low,medium,high,high,high,high,medium,medium,high,medium,low,low,low,high
138,high,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,high,high,high,high,high,medium,medium,medium,low,medium,low,high,low,medium,medium,low,medium,medium,medium,low,low,high,high,medium,low
139,low,high,medium,high,medium,high,high,high,high,high,medium,medium,high,medium,high,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,low,high,high,high,high,medium,medium
140,high,high,medium,medium,medium,high,medium,medium,high,high,high,high,high,high,high,high,low,low,low,high,medium,medium,medium,medium,high,high,high,high,high,medium,medium,low,high,high,medium,high
141,low,medium,low,low,low,low,low,low,medium,low,medium,low,low,low,medium,low,low,low,low,low,low,medium,medium,medium,medium,medium,high,medium,high,high,high,high,low,low,low,high
142,medium,low,medium,low,medium,medium,low,low,low,low,low,low,low,low,low,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,high,medium,low,low,medium,medium
143,low,medium,medium,medium,medium,medium,low,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,high,medium,high,low,medium,medium,high
144,high,high,low,low,low,medium,medium,low,medium,high,high,high,medium,medium,medium,medium,low,medium,high,medium,low,medium,low,medium,high,high,medium,medium,medium,medium,low,low,medium,medium,low,medium
145,medium,medium,low,low,low,low,medium,medium,low,medium,high,medium,low,low,low,low,low,low,low,low,low,medium,low,medium,high,high,high,high,high,high,medium,medium,low,low,low,high
146,low,medium,high,high,high,medium,medium,medium,high,low,low,low,medium,medium,medium,high,medium,high,medium,low,low,medium,low,medium,low,low,low,low,low,low,medium,high,high,medium,medium,low
